,ds,y,yhat1,trend,season_yearly
0,2023-01-31,,6.254035472869873,3.6694719791412354,2.5845630168914795
1,2023-02-28,,3.6923317909240723,3.8997652530670166,-0.20743338763713837
2,2023-03-31,,6.332408905029297,4.154732704162598,2.17767596244812
3,2023-04-30,,1.464917540550232,4.401475429534912,-2.9365575313568115
4,2023-05-31,,4.994637489318848,4.656442642211914,0.33819514513015747
5,2023-06-30,,0.9693255424499512,4.903186321258545,-3.9338605403900146
6,2023-07-31,,0.7480039596557617,5.158154010772705,-4.410149574279785
7,2023-08-31,,0.5676015615463257,5.413121700286865,-4.84552001953125
8,2023-09-30,,2.1000680923461914,5.659862995147705,-3.5597946643829346
9,2023-10-31,,15.058734893798828,5.914830684661865,9.143904685974121
10,2023-11-30,,7.574452877044678,6.161573886871338,1.4128788709640503
11,2023-12-31,,8.314576148986816,6.4165425300598145,1.898033618927002
