;ds;y;yhat1;trend;season_yearly
0;31/01/2023;;6.254035472869873;3.6694719791412354;2.5845630168914795
1;28/02/2023;;3.6923317909240723;3.8997652530670166;-0.20743338763713837
2;31/03/2023;;6.332408905029297;4.154732704162598;2.17767596244812
3;30/04/2023;;1.464917540550232;4.401475429534912;-2.9365575313568115
4;31/05/2023;;4.994637489318848;4.656442642211914;0.33819514513015747
5;30/06/2023;;0.9693255424499512;4.903186321258545;-3.9338605403900146
6;31/07/2023;;0.7480039596557617;5.158154010772705;-4.410149574279785
7;31/08/2023;;0.5676015615463257;5.413121700286865;-4.84552001953125
8;30/09/2023;;2.1000680923461914;5.659862995147705;-3.5597946643829346
9;31/10/2023;;15.058734893798828;5.914830684661865;9.143904685974121
10;30/11/2023;;7.574452877044678;6.161573886871338;1.4128788709640503
11;31/12/2023;;8.314576148986816;6.4165425300598145;1.898033618927002
